Passenger Count;Trip Distance (in miles);Fare Amount;Surcharge;Tip Amount;Total Amount;Generous ? 
1;1,68;10;0;0;10,8;No
3;1,56;7,5;0,5;0;8,8;No
5;4;13,5;0,5;0;14,5;No
1;0,8;5;0,5;0;6,3;No
1;1,58;9;0,5;1,9;12,2;Yes
2;2,57;14,5;0,5;0;15,8;No
3;2,5;10,5;0,5;0;11,8;No
2;1,3;8,5;0,5;2;11,8;Yes
2;0;2,5;0,5;0;3,8;No
3;5,62;18;0,5;0;19,3;No
6;0,31;3,5;0,5;0;4,8;No
1;2,1;10;0,5;2,8;14,1;Yes
1;2,5;11;0,5;0;12,3;No
2;2,23;12;0,5;0;13;No
2;0,9;4,5;0,5;0;5,8;No
1;0,83;5;0,5;1,1;7,4;Yes
5;0,85;6,5;0,5;0;7,8;No
1;1,9;9,5;0,5;0;10,8;No
1;1,3;7;0,5;1;9,3;Yes
1;1,37;9,5;0,5;0;10,8;No
1;3,47;13;0,5;0;14,3;No
1;1;5;0,5;0;6,3;No
1;1,4;9,5;0,5;0;10,8;No
1;3,8;14;0,5;0;15,3;No
3;0,92;5,5;0,5;0;6,8;No
6;0,42;4;0,5;0;5,3;No
2;2,22;11;0,5;0;12;No
1;2,17;11;0,5;2,3;14,6;Yes
1;2,94;13,5;0,5;2,8;17,6;Yes
1;0,8;5;0;1,15;6,95;Yes
1;2,1;9,7;0,5;2,2;13,2;Yes
5;1,48;15;0,5;0;16,3;No
1;1,88;8,5;0,5;0;9,8;No
1;2,05;10;0,5;0;11;No
1;3;11,7;0,5;2,6;15,6;Yes
6;0,68;5;0,5;0;6,3;No
1;9,4;27,5;0,5;8,5;42,63;Yes
1;13,8;39;0,5;0;40,3;No
1;7,9;29;0,5;6,05;36,35;Yes
1;2,1;11,5;0,5;0;12,8;No
5;9,29;28;0,5;6,77;41,4;Yes
1;4,6;16,5;0,5;0;17,8;No
1;0,66;5,5;0,5;0;6,8;No
1;0,24;3;0,5;0;4,3;No
2;1,67;8;0,5;0;9,3;No
2;1,14;8,5;0,5;5;14,8;Yes
1;1,7;7,5;0,5;0;8,8;No
1;2,25;9,5;0,5;0;10,8;No
6;3,04;12;0,5;0;13,3;No
2;2,1;11;0,5;0;12,3;No
